"county","year","age_group","total_pop","at_risk"
"Mombasa",2038,"65-69",38988,22614
"Kwale",2093,"50-54",68611,57892
"Baringo",2059,"40-44",62313,57134
"Mombasa",2091,"70-74",236577,138045
"Wajir",2092,"45-49",153272,153248
"Kisii",2047,"35-39",205834,205834
"Migori",2077,"25-29",111736,111734
"Nyamira",2050,"15-19",107812,107812
"Kiambu",2061,"95+",1616,539
"Turkana",2045,"50-54",64070,62000
"Nairobi",2070,"75-79",310891,3589
"Embu",2055,"70-74",16134,16134
"Mombasa",2037,"95+",363,211
"Nyandarua",2098,"55-59",43478,298
"Makueni",2073,"15-19",84678,84678
"Trans Nzoia",2060,"65-69",52235,51487
"Murang'a",2070,"80-84",14353,13247
"Kitui",2017,"95+",342,342
"Trans Nzoia",2098,"0-4",122722,121708
"Vihiga",2029,"40-44",52692,52692
"Mandera",2062,"10-14",321625,321625
"Mombasa",2002,"5-9",113972,64996
"Kajiado",2070,"35-39",141790,95649
"Tana River",2071,"35-39",29824,29457
"Kiambu",2000,"15-19",174448,75742
"Makueni",2081,"70-74",35164,35164
"Kitui",2081,"15-19",100128,100128
"Samburu",2061,"80-84",2889,2335
"Wajir",2045,"20-24",194867,194821
"Samburu",2007,"85-89",182,147
"Kisii",2002,"55-59",14902,14902
"Kisii",2025,"30-34",112646,112646
"Tana River",2089,"45-49",20944,20687
"Kwale",2099,"45-49",67486,56384
"Kwale",2011,"15-19",74477,68314
"Nakuru",2007,"45-49",46547,28804
"Murang'a",2097,"15-19",68852,64385
"Uasin Gishu",2032,"5-9",183561,147621
"Laikipia",2039,"65-69",11474,5671
"Kericho",2066,"10-14",125125,115321
"Busia",2074,"35-39",101081,101080
"Isiolo",2054,"0-4",27625,27605
"Vihiga",2014,"40-44",28491,28491
"Nandi",2075,"65-69",48988,48988
"Nairobi",2085,"35-39",1556480,16043
"Narok",2057,"95+",412,285
"Tharaka-Nithi",2021,"15-19",41314,41262
"Embu",2091,"55-59",45669,45669
"Kilifi",2026,"50-54",53952,50762
"Kakamega",2027,"65-69",26590,26590
"Murang'a",2031,"50-54",43641,39850
"Migori",2016,"60-64",13160,13160
"Nandi",2008,"70-74",4475,4475
"Laikipia",2010,"25-29",34102,17924
"Meru",2042,"55-59",82857,77386
"Homa Bay",2064,"95+",523,523
"Migori",2070,"5-9",119220,119218
"Vihiga",2061,"55-59",110860,110860
"Murang'a",2100,"50-54",64659,60567
"Isiolo",2066,"25-29",27180,27164
"Nandi",2085,"5-9",73692,73692
"Nandi",2013,"40-44",39130,39129
"Turkana",2018,"90-94",667,642
"Nyeri",2040,"15-19",94158,66254
"Meru",2092,"40-44",220307,213341
"Kilifi",2000,"25-29",71494,67230
"West Pokot",2078,"25-29",61079,54333
"Kiambu",2022,"0-4",263806,108596
"Isiolo",2039,"55-59",8331,8324
"Trans Nzoia",2058,"80-84",13409,13213
"Kilifi",2009,"95+",34,29
"Kitui",2096,"95+",1655,1655
"Vihiga",2078,"70-74",99612,99612
"Lamu",2027,"15-19",16806,14026
"Bomet",2000,"95+",0,0
"Makueni",2070,"30-34",87336,87336
"Lamu",2034,"25-29",15289,12857
"Marsabit",2035,"75-79",2759,2670
"Vihiga",2022,"15-19",82796,82796
"Machakos",2089,"90-94",7684,7684
"Turkana",2052,"20-24",131121,126958
"Narok",2078,"75-79",27404,19061
"Mombasa",2019,"60-64",18007,10363
"Homa Bay",2040,"85-89",2374,2374
"Bomet",2021,"70-74",7664,7418
"Wajir",2012,"65-69",7309,7307
"Siaya",2024,"85-89",1467,1467
"Homa Bay",2046,"50-54",62329,62326
"Vihiga",2051,"50-54",87072,87072
"Tana River",2032,"15-19",42923,42397
"Bomet",2092,"55-59",56084,54481
"Uasin Gishu",2072,"90-94",4963,4389
"Nyandarua",2058,"45-49",59453,518
"Kericho",2068,"15-19",122622,113172
"Bomet",2088,"50-54",62550,60741
"Kajiado",2031,"25-29",102064,81188
"Nyamira",2072,"55-59",73060,73060
"Garissa",2091,"45-49",257930,257764
"Narok",2006,"35-39",45448,31698
"Machakos",2025,"60-64",25757,25757
"Kericho",2006,"50-54",14188,12766
"Tharaka-Nithi",2020,"40-44",17709,17686
"Wajir",2021,"60-64",27068,27061
"Siaya",2014,"75-79",3860,3860
"Elgeyo-Marakwet",2074,"40-44",34652,19631
"Kirinyaga",2046,"10-14",85745,85742
"Mombasa",2009,"95+",45,26
"Kisumu",2034,"0-4",184495,184493
"Machakos",2069,"30-34",166074,166074
"Trans Nzoia",2069,"65-69",68028,67151
"Makueni",2066,"35-39",86780,86780
"Kwale",2074,"80-84",13565,11785
"Trans Nzoia",2089,"50-54",129302,128056
"Taita Taveta",2060,"50-54",35790,35790
"Kericho",2088,"0-4",98119,91969
"Narok",2012,"10-14",128340,88818
"Mombasa",2099,"0-4",423107,246977
"Elgeyo-Marakwet",2031,"55-59",14690,8324
"Machakos",2005,"80-84",2126,2126
"Lamu",2005,"95+",0,0
"Kirinyaga",2068,"55-59",53180,53177
"Nairobi",2000,"60-64",27915,658
"Taita Taveta",2063,"80-84",5347,5347
"Makueni",2096,"10-14",50948,50948
"Homa Bay",2056,"25-29",118556,118549
"Mandera",2089,"90-94",13790,13790
"Kilifi",2056,"15-19",212087,202577
"Narok",2077,"10-14",94566,65786
"Homa Bay",2008,"20-24",95670,95665
"Marsabit",2085,"85-89",3943,3851
"Trans Nzoia",2044,"55-59",60721,59704
"Kakamega",2096,"75-79",118255,118255
"Nyandarua",2044,"55-59",33113,302
"Busia",2014,"25-29",73462,73460
"Makueni",2042,"60-64",33186,33186
"Mombasa",2011,"90-94",318,182
"Mombasa",2054,"10-14",317299,184553
"Kajiado",2090,"35-39",146486,91115
"Tana River",2064,"0-4",34914,34487
"Kwale",2084,"65-69",46968,40207
"Kirinyaga",2040,"15-19",77208,77205
"Nandi",2026,"5-9",130838,130837
"Siaya",2077,"20-24",86730,86723
"Kisii",2053,"20-24",263550,263550
"Busia",2050,"15-19",121506,121506
"Turkana",2063,"65-69",43206,41886
"Kirinyaga",2002,"85-89",385,385
"Laikipia",2016,"20-24",44061,22702
"Kajiado",2062,"45-49",109795,76687
"Kirinyaga",2022,"85-89",929,929
"Murang'a",2068,"10-14",105526,97323
"Tharaka-Nithi",2041,"95+",83,83
"Wajir",2044,"90-94",1461,1461
"Mandera",2015,"85-89",2168,2168
"Isiolo",2001,"35-39",6525,6524
"Garissa",2035,"40-44",113826,113624
"Kitui",2042,"80-84",6576,6576
"Tana River",2036,"75-79",2861,2825
"Kajiado",2079,"25-29",147819,96008
"Kitui",2092,"35-39",84803,84803
"Bungoma",2004,"75-79",5344,5318
"Nyamira",2038,"20-24",90041,90041
"Machakos",2069,"75-79",36647,36647
"Nandi",2011,"15-19",88276,88274
"Nyeri",2086,"80-84",19456,15670
"Kericho",2045,"70-74",20063,18251
"Homa Bay",2096,"60-64",62368,62365
"Lamu",2072,"35-39",15894,14095
"Kisii",2002,"90-94",193,193
"Nairobi",2004,"90-94",589,11
"Wajir",2058,"80-84",17302,17300
"Kisumu",2051,"80-84",11877,11877
"Nyeri",2052,"15-19",99901,72507
"Vihiga",2066,"90-94",3797,3797
"Nyamira",2032,"35-39",56469,56469
"Nyamira",2027,"65-69",10547,10547
"Samburu",2063,"75-79",5382,4360
"Taita Taveta",2026,"5-9",48332,48332
"Siaya",2047,"80-84",6607,6605
"Embu",2054,"15-19",78634,78634
"Turkana",2069,"70-74",35386,34330
"Bomet",2060,"0-4",105785,102506
"Kitui",2062,"20-24",127483,127483
"Kilifi",2060,"75-79",34081,32625
"Meru",2073,"75-79",56738,54237
"Marsabit",2063,"25-29",41328,40156
"Kiambu",2007,"10-14",207765,89104
"Garissa",2052,"20-24",239433,239105
"Turkana",2082,"70-74",46705,45398
"Kwale",2091,"60-64",58568,49582
"Marsabit",2087,"35-39",33466,32713
"Vihiga",2006,"90-94",126,126
"Kirinyaga",2075,"45-49",65854,65851
"Kitui",2016,"50-54",32354,32354
"Mandera",2041,"55-59",116276,116276
"Bomet",2070,"30-34",89583,86860
"Mombasa",2009,"85-89",857,489
"Bungoma",2065,"65-69",90866,90453
"Kisumu",2041,"85-89",3158,3158
"Marsabit",2075,"10-14",37978,37005
"Kwale",2004,"20-24",57084,52306
"Mandera",2002,"80-84",1129,1129
"Kajiado",2088,"15-19",146763,91983
"Mombasa",2004,"20-24",83358,47466
"Marsabit",2058,"65-69",13826,13423
"Tana River",2046,"35-39",34898,34473
"Samburu",2097,"15-19",14787,11966
"Bungoma",2071,"70-74",77214,76882
"Baringo",2018,"20-24",65555,59732
"Makueni",2042,"45-49",62932,62932
"Murang'a",2035,"0-4",146670,134028
"Bomet",2049,"5-9",120328,116536
"Laikipia",2076,"55-59",35141,14543
"Taita Taveta",2069,"55-59",33816,33816
"West Pokot",2083,"50-54",50320,44880
"Kiambu",2068,"70-74",130357,42506
"Taita Taveta",2057,"45-49",38714,38714
"Trans Nzoia",2052,"20-24",156044,153617
"Kisii",2087,"30-34",327635,327635
"Embu",2043,"40-44",52103,52103
"Bomet",2087,"65-69",42172,40945
"Migori",2066,"45-49",93964,93963
"Kilifi",2009,"80-84",2410,2257
"Kericho",2034,"35-39",84152,76125
"Tharaka-Nithi",2095,"65-69",23884,23868
"Kajiado",2009,"40-44",29106,24007
"Makueni",2065,"75-79",19026,19026
"Nyandarua",2006,"80-84",1225,11
"Turkana",2083,"85-89",9794,9526
"Bungoma",2094,"55-59",172665,172107
"Turkana",2053,"40-44",104479,101175
"Trans Nzoia",2006,"90-94",183,181
"Trans Nzoia",2065,"35-39",140288,138388
"Trans Nzoia",2056,"80-84",12468,12282
"Nakuru",2048,"35-39",277461,187736
"Samburu",2031,"55-59",9630,7795
"Siaya",2040,"80-84",4963,4962
"Kilifi",2027,"20-24",167183,157361
"Kakamega",2095,"65-69",190317,190317
"Trans Nzoia",2093,"50-54",128218,127061
"Makueni",2076,"20-24",79767,79767
"Narok",2069,"75-79",23614,16426
"Elgeyo-Marakwet",2087,"35-39",28421,16105
"Narok",2075,"65-69",53714,37369
"Baringo",2035,"0-4",103635,94616
"Kirinyaga",2025,"25-29",54170,54167
"Nyamira",2005,"55-59",8785,8785
"Garissa",2038,"30-34",178840,178536
"Tana River",2094,"90-94",1266,1250
"Laikipia",2033,"80-84",1977,996
"Nyamira",2068,"50-54",77568,77568
"Nyandarua",2065,"60-64",38107,321
"Nakuru",2007,"55-59",22868,14148
"Vihiga",2094,"70-74",138961,138961
"Baringo",2002,"45-49",11210,10205
"Kisii",2059,"90-94",3982,3982
"Vihiga",2071,"70-74",71481,71481
"Garissa",2099,"75-79",126914,126846
"Nyandarua",2019,"5-9",93609,897
"Nairobi",2079,"75-79",467212,5020
"Embu",2013,"70-74",3634,3634
"Murang'a",2017,"85-89",1460,1331
"Bomet",2087,"80-84",17632,17119
"Marsabit",2097,"20-24",30509,29899
"Taita Taveta",2055,"25-29",48431,48431
"Uasin Gishu",2027,"65-69",19308,15356
"Kakamega",2005,"30-34",89452,89452
"Isiolo",2004,"95+",0,0
"Kericho",2097,"95+",2098,1977
"Mombasa",2079,"85-89",37685,21973
"Trans Nzoia",2030,"10-14",147726,144987
"Mandera",2092,"80-84",80709,80709
"Isiolo",2012,"95+",16,16
"Murang'a",2072,"55-59",68026,62835
"Nakuru",2026,"50-54",82841,52223
"Migori",2038,"45-49",66125,66123
"Kisumu",2039,"75-79",12422,12422
"Kisii",2057,"5-9",280064,280064
"Kakamega",2040,"75-79",19465,19465
"Migori",2100,"50-54",88200,88199
"Kakamega",2002,"5-9",181535,181535
"Machakos",2005,"60-64",11401,11401
"Narok",2001,"55-59",10290,7206
"Nyamira",2070,"45-49",86506,86506
"Marsabit",2095,"90-94",2135,2092
"Kirinyaga",2070,"75-79",17180,17180
"Narok",2000,"10-14",95088,66117
"Murang'a",2012,"20-24",98213,89509
"Mombasa",2077,"20-24",405359,236325
"Kisii",2096,"40-44",332467,332467
"Marsabit",2065,"5-9",41468,40310
"Nandi",2003,"20-24",62059,62057
"Mombasa",2036,"70-74",23323,13521
"Machakos",2015,"80-84",3246,3246
"Samburu",2093,"45-49",16008,12957
"Bungoma",2019,"10-14",248202,246723
"Meru",2002,"40-44",46568,42909
"Kilifi",2006,"5-9",154518,144262
"Kericho",2061,"50-54",91914,84421
"Bomet",2036,"55-59",36685,35512
"Vihiga",2052,"45-49",113885,113885
"Nyandarua",2070,"55-59",46939,388
"Vihiga",2047,"60-64",49254,49254
"Bungoma",2056,"35-39",202733,201744
"Embu",2057,"15-19",76428,76428
"Mandera",2056,"15-19",333251,333251
"Kericho",2060,"10-14",130597,119870
"Nakuru",2044,"85-89",7065,4722
"Kisumu",2002,"65-69",8087,8087
"Embu",2036,"45-49",39501,39501
"Marsabit",2022,"35-39",22891,22094
"Kajiado",2021,"15-19",103879,85531
"Kwale",2045,"65-69",22282,20037
"Murang'a",2071,"35-39",97356,89895
"Trans Nzoia",2091,"50-54",128829,127626
"Baringo",2094,"95+",897,834
"Kisumu",2072,"80-84",27778,27777
"Nyeri",2091,"60-64",59989,49055
"Nakuru",2077,"85-89",31107,22927
"Kirinyaga",2065,"45-49",60183,60182
"Mombasa",2036,"80-84",7280,4218
"Taita Taveta",2079,"80-84",8684,8684
"Mombasa",2013,"15-19",112039,64448
"Turkana",2053,"20-24",131090,126942
"Busia",2075,"50-54",80264,80264
"Kiambu",2095,"45-49",465763,138812
"Busia",2026,"5-9",119450,119449
"Isiolo",2087,"30-34",26756,26745
"Meru",2076,"35-39",228059,218484
"Busia",2049,"90-94",1039,1039
"West Pokot",2095,"25-29",47214,42411
"Bomet",2084,"65-69",42807,41553
"West Pokot",2043,"75-79",7659,6729
"Mandera",2078,"15-19",296599,296599
"Kisumu",2039,"55-59",56080,56080
"Nyeri",2072,"15-19",88219,67956
"Homa Bay",2086,"75-79",34058,34057
"Baringo",2001,"35-39",20979,19103
"Lamu",2052,"75-79",2098,1807
"Kwale",2100,"90-94",5845,4874
"Kisumu",2013,"85-89",1237,1237
"Siaya",2046,"65-69",26222,26221
"Bungoma",2069,"90-94",4991,4970
"Embu",2021,"35-39",41111,41111
"Mombasa",2093,"15-19",439141,256268
"Nyamira",2024,"55-59",18963,18963
"Nairobi",2040,"5-9",949928,15334
"Taita Taveta",2091,"20-24",45509,45509
"Vihiga",2003,"25-29",39329,39329
"Wajir",2044,"25-29",183398,183355
"Kisii",2070,"20-24",302101,302101
"Kirinyaga",2041,"70-74",10373,10373
"Siaya",2062,"60-64",48541,48537
"Trans Nzoia",2033,"20-24",143970,141353
"Mombasa",2026,"40-44",80308,46451
"Migori",2033,"45-49",60690,60688
"Siaya",2069,"55-59",65278,65273
"Isiolo",2077,"20-24",27200,27187
"Kiambu",2069,"20-24",430272,139722
"Turkana",2003,"95+",2,2
"Nyeri",2007,"35-39",36347,24597
"Samburu",2037,"0-4",41319,33437
"Migori",2066,"50-54",87473,87472
"Uasin Gishu",2063,"50-54",143678,124455
"Trans Nzoia",2075,"65-69",81621,80647
"Lamu",2027,"50-54",4997,4173
"Trans Nzoia",2031,"40-44",78924,77469
"Nairobi",2086,"35-39",1568175,16059
"Kakamega",2073,"75-79",66412,66412
"Tharaka-Nithi",2091,"55-59",30566,30545
"Busia",2099,"20-24",83133,83132
"Siaya",2060,"25-29",104713,104706
"Kakamega",2014,"70-74",9914,9914
"Mandera",2082,"50-54",250175,250175
"Murang'a",2090,"90-94",4130,3843
"Nyeri",2029,"20-24",89489,61448
"Narok",2056,"35-39",106716,74238
"Kilifi",2063,"85-89",10017,9604
"Machakos",2063,"65-69",61740,61740
"Siaya",2093,"95+",1222,1222
"Nandi",2034,"85-89",1950,1950
"Makueni",2073,"50-54",63557,63557
"Laikipia",2065,"0-4",56343,24972
"Kajiado",2081,"35-39",145217,93555
"Meru",2017,"60-64",21751,20030
"Nandi",2096,"95+",1321,1321
"Makueni",2084,"55-59",54713,54713
"Meru",2080,"50-54",195936,188239
"Kajiado",2025,"75-79",5174,4205
"Kisumu",2052,"75-79",21611,21611
"Nairobi",2021,"70-74",34492,737
"Narok",2040,"90-94",972,677
"Kisii",2055,"35-39",220295,220295
"Kwale",2020,"55-59",18570,17006
"Mandera",2043,"75-79",28563,28563
"Kiambu",2079,"80-84",82655,25850
"Isiolo",2024,"95+",38,38
"Lamu",2086,"85-89",1815,1644
"Kericho",2071,"40-44",108107,99993
"Kisii",2040,"95+",395,395
"Siaya",2062,"35-39",90816,90809
"Wajir",2001,"35-39",17429,17420
"Isiolo",2007,"45-49",4509,4508
"Meru",2074,"70-74",89482,85600
"Nakuru",2084,"25-29",358835,269055
"Baringo",2090,"30-34",52235,48368
"Nyamira",2003,"0-4",93160,93160
"Busia",2015,"25-29",74438,74438
"Nyeri",2068,"50-54",65081,49514
"Kirinyaga",2097,"90-94",5031,5031
"Uasin Gishu",2074,"15-19",200580,178085
"Bungoma",2067,"5-9",236407,235356
"Homa Bay",2076,"20-24",98940,98932
"Bungoma",2019,"75-79",8689,8634
"Trans Nzoia",2098,"10-14",128037,126974
"Kwale",2019,"65-69",8216,7530
"Mombasa",2072,"45-49",321859,187572
"Lamu",2093,"5-9",13863,12695
"Bomet",2054,"90-94",1245,1207
"Laikipia",2054,"90-94",688,324
"Baringo",2061,"95+",315,287
"Mandera",2028,"45-49",125188,125188
"Baringo",2049,"5-9",90686,82973
"Kwale",2023,"60-64",14821,13550
"Garissa",2053,"35-39",197317,197051
"Nandi",2001,"5-9",85170,85170
"Murang'a",2020,"85-89",1599,1456
"Wajir",2094,"25-29",158071,158049
"Kakamega",2051,"70-74",48572,48572
"Nairobi",2034,"85-89",11723,204
"Nyandarua",2021,"20-24",67128,640
"Tharaka-Nithi",2037,"55-59",14447,14430
"Garissa",2007,"0-4",87019,86836
"Embu",2058,"40-44",57989,57989
"Samburu",2059,"15-19",31055,25132
"Machakos",2061,"70-74",45048,45048
"Meru",2065,"95+",1130,1076
"Nandi",2044,"80-84",6074,6074
"Migori",2009,"50-54",20211,20209
"Kirinyaga",2061,"60-64",35945,35943
"Makueni",2017,"40-44",47599,47599
"Lamu",2052,"85-89",550,473
"Homa Bay",2022,"15-19",128517,128507
"Siaya",2096,"35-39",66238,66233
"West Pokot",2012,"70-74",3511,3081
"Narok",2093,"70-74",37530,26104
"Narok",2062,"80-84",12208,8490
"Uasin Gishu",2058,"20-24",199734,170984
"Nyamira",2001,"45-49",12974,12974
"Tana River",2039,"10-14",45094,44540
"Nandi",2054,"40-44",90383,90383
"Lamu",2053,"75-79",2174,1871
"Embu",2047,"55-59",32525,32525
"Kakamega",2046,"70-74",39770,39770
"Nyeri",2025,"20-24",80874,55107
"Embu",2018,"80-84",1818,1818
"Nandi",2032,"95+",204,204
"Machakos",2043,"30-34",151250,151250
"Tharaka-Nithi",2023,"15-19",43357,43303
"Homa Bay",2071,"10-14",106659,106654
"Lamu",2004,"55-59",1363,1132
"Siaya",2054,"65-69",33175,33173
"Busia",2044,"10-14",125637,125636
"Bomet",2019,"80-84",2794,2703
"Kiambu",2016,"30-34",137128,57538
"Baringo",2007,"40-44",21572,19672
"Murang'a",2079,"5-9",89328,82761
"Tharaka-Nithi",2042,"60-64",12691,12676
"Mandera",2055,"0-4",335007,335007
"Isiolo",2003,"65-69",1205,1205
"Murang'a",2004,"15-19",105782,96487
"Trans Nzoia",2062,"5-9",157603,155398
"Uasin Gishu",2002,"95+",2,2
"Siaya",2025,"80-84",2938,2938
"Kiambu",2076,"10-14",450631,142456
"Homa Bay",2047,"85-89",3290,3290
"Murang'a",2064,"0-4",110487,101744
"Garissa",2006,"5-9",68026,67880
"Kwale",2047,"95+",216,192
"Trans Nzoia",2000,"45-49",14949,14620
"Kajiado",2023,"20-24",93444,76444
"Kirinyaga",2073,"55-59",52382,52382
"Mombasa",2074,"10-14",396100,230875
"Nyeri",2064,"55-59",59476,44697
"Baringo",2028,"10-14",91341,83320
"Turkana",2051,"95+",320,310
"Narok",2088,"15-19",75322,52399
"Makueni",2013,"40-44",43895,43895
"Mombasa",2002,"10-14",105567,60202
"Murang'a",2070,"50-54",74965,69188
"Taita Taveta",2082,"85-89",4761,4761
"Baringo",2038,"75-79",6398,5845
"Taita Taveta",2012,"15-19",34052,34052
"Kericho",2024,"50-54",36781,33138
"Kwale",2080,"90-94",3011,2593
"Marsabit",2100,"10-14",28813,28262
"Taita Taveta",2085,"55-59",38031,38031
"Kiambu",2037,"55-59",95843,36362
"Migori",2077,"30-34",110784,110780
"Nandi",2066,"50-54",72263,72260
"Nyandarua",2041,"10-14",89781,827
"Isiolo",2092,"90-94",1546,1545
"Wajir",2074,"55-59",127115,127092
"Laikipia",2013,"80-84",1068,559
"Tharaka-Nithi",2042,"95+",86,86
"Kericho",2041,"95+",244,218
"Tana River",2057,"20-24",38326,37857
"Kirinyaga",2085,"90-94",3057,3056
"Lamu",2026,"5-9",17146,14293
"Bomet",2075,"95+",634,616
"Garissa",2079,"75-79",81977,81909
"Makueni",2006,"20-24",87395,87395
"Tharaka-Nithi",2099,"35-39",32684,32660
"Mombasa",2049,"10-14",297693,173023
"Taita Taveta",2095,"90-94",3026,3026
"Laikipia",2084,"60-64",31338,12218
"Kitui",2081,"85-89",9701,9701
"West Pokot",2059,"95+",284,251
"Busia",2030,"35-39",68245,68242
"Laikipia",2006,"45-49",10354,5442
"Meru",2029,"20-24",196588,181952
"Marsabit",2092,"15-19",31804,31126
"West Pokot",2035,"0-4",102340,89775
"Kisii",2065,"35-39",266771,266771
"Kirinyaga",2050,"5-9",84683,84679
"Laikipia",2023,"5-9",66458,34165
"Kirinyaga",2018,"15-19",65318,65314
"Mandera",2063,"25-29",316687,316687
"Garissa",2046,"40-44",163801,163554
"Migori",2065,"70-74",34551,34549
"Trans Nzoia",2010,"20-24",89710,87836
"Kericho",2004,"85-89",545,489
"Isiolo",2068,"85-89",1655,1653
"Kisumu",2006,"55-59",14682,14682
"Bungoma",2043,"25-29",221722,220537
"Samburu",2076,"40-44",22287,18036
"Wajir",2062,"25-29",197557,197516
"Narok",2070,"35-39",102249,71136
"Kwale",2003,"55-59",8132,7465
"Busia",2007,"0-4",123068,123065
"Busia",2085,"50-54",85890,85889
"Kisumu",2098,"25-29",182258,182257
"Nakuru",2002,"25-29",102261,63295
"Mombasa",2020,"95+",362,210
"Uasin Gishu",2019,"60-64",19388,15198
"Marsabit",2063,"65-69",14878,14455
"Kajiado",2019,"0-4",119899,99057
"Tana River",2069,"25-29",31744,31357
"Kitui",2064,"15-19",124207,124207
"Kisii",2065,"60-64",152841,152841
"Elgeyo-Marakwet",2072,"0-4",37855,21450
"Laikipia",2009,"75-79",1511,792
"Kitui",2071,"80-84",16494,16494
"Baringo",2099,"85-89",8548,7947
"Kwale",2096,"20-24",70204,58950
"Meru",2021,"90-94",1045,963
"Mandera",2078,"35-39",287674,287674
"Embu",2006,"70-74",3365,3365
"Nandi",2003,"5-9",89860,89859
"Turkana",2007,"30-34",53130,51369
"Kisii",2018,"55-59",28580,28580
"Turkana",2050,"25-29",120886,117028
"Nyeri",2016,"0-4",106347,71872
"Elgeyo-Marakwet",2079,"85-89",3102,1758
"Samburu",2048,"95+",73,56
"Kajiado",2032,"5-9",130349,103291
"Nyandarua",2032,"70-74",7951,75
"Kisumu",2085,"65-69",110790,110789
"Machakos",2035,"45-49",81606,81606
"Bungoma",2081,"15-19",213201,212389
"Nandi",2019,"45-49",38711,38710
"Bungoma",2079,"25-29",214436,213596
"Machakos",2094,"50-54",139907,139907
"Samburu",2018,"90-94",176,144
"Homa Bay",2083,"55-59",70659,70655
"Laikipia",2021,"35-39",32753,16900
"Migori",2090,"50-54",93896,93895
"Kericho",2057,"80-84",10785,9880
"Nairobi",2027,"90-94",3137,63
"Nyeri",2004,"5-9",92378,62726
"Tana River",2019,"45-49",13838,13664
"Kilifi",2055,"55-59",98979,94491
"Mandera",2044,"50-54",151244,151244
"Uasin Gishu",2026,"10-14",167180,132664
"Kiambu",2082,"50-54",402697,124680
"Kwale",2028,"5-9",105900,96520
"Nyamira",2032,"0-4",107221,107221
"Nyandarua",2089,"30-34",54491,401
"Garissa",2076,"90-94",8042,8036
"Tharaka-Nithi",2081,"85-89",3676,3673
"Nandi",2056,"80-84",8917,8917
"Narok",2031,"70-74",13309,9256
"Kwale",2015,"35-39",43285,39580
"Lamu",2057,"50-54",11272,9770
"Isiolo",2044,"25-29",22540,22523
"Kirinyaga",2030,"85-89",1031,1031
"Nakuru",2071,"75-79",81107,58840
"Nandi",2072,"60-64",58742,58742
"Kajiado",2054,"90-94",1610,1166
"Narok",2041,"70-74",19053,13252
"Kitui",2049,"40-44",107685,107685
"Kajiado",2059,"30-34",133024,94143
"West Pokot",2087,"20-24",53838,48122
"Kwale",2027,"90-94",501,457
"Baringo",2025,"20-24",78717,71783
"Kilifi",2048,"85-89",5344,5081
"Nairobi",2078,"50-54",1234154,13360
"Nyandarua",2053,"15-19",83930,744
"Garissa",2012,"85-89",815,814
"Samburu",2073,"60-64",15649,12663
"Kwale",2012,"50-54",17398,15937
"Baringo",2075,"75-79",16955,15615
"Nakuru",2015,"70-74",12117,7495
"Murang'a",2007,"20-24",94808,86379
"Kajiado",2047,"10-14",145720,108638
"Nakuru",2099,"75-79",165171,127769
"Turkana",2028,"75-79",6530,6311
"Meru",2071,"30-34",232237,221677
"Bomet",2080,"70-74",36864,35771
"Siaya",2004,"10-14",99853,99847
"Kisumu",2067,"50-54",134363,134363
"Nyeri",2067,"70-74",26716,20258
"Siaya",2071,"15-19",93868,93861
"Baringo",2094,"60-64",39819,36935
"Kilifi",2098,"15-19",181116,176897
"Kericho",2010,"0-4",137132,123379
"Kericho",2094,"5-9",93385,87957
"Trans Nzoia",2058,"30-34",142228,140148
"Kitui",2050,"45-49",90728,90728
"Tana River",2051,"30-34",34210,33792
"Kitui",2015,"75-79",4866,4866
"Nyeri",2090,"80-84",22085,17998
"Garissa",2003,"45-49",9814,9789
"Trans Nzoia",2041,"60-64",40955,40252
"Elgeyo-Marakwet",2070,"80-84",5577,3160
"Narok",2002,"55-59",10725,7516
"Homa Bay",2040,"60-64",34465,34462
"Nyandarua",2079,"90-94",2155,17
"Machakos",2013,"85-89",1363,1363
"Busia",2018,"45-49",34247,34247
"Tharaka-Nithi",2020,"30-34",26919,26883
"Nairobi",2014,"70-74",22786,511
"Vihiga",2080,"20-24",230056,230056
"Bomet",2031,"40-44",64806,62724
"Migori",2019,"25-29",85332,85329
"Makueni",2070,"65-69",41002,41002
"Tana River",2069,"65-69",14268,14097
"Migori",2094,"15-19",95167,95166
"Samburu",2054,"90-94",366,296
"Kakamega",2099,"75-79",124719,124719
"Taita Taveta",2079,"15-19",48251,48251
"Migori",2032,"30-34",94038,94036
"Bomet",2094,"70-74",34203,33234
"Nandi",2006,"55-59",10498,10498
"Kiambu",2097,"65-69",358090,106179
"Busia",2099,"55-59",77401,77401
"Kwale",2028,"80-84",2767,2521
"Uasin Gishu",2029,"0-4",189738,151550
"Kwale",2016,"45-49",28227,25860
"Kilifi",2001,"25-29",73929,69059
"Embu",2056,"95+",230,230
"Kiambu",2074,"90-94",12248,3903
"Nakuru",2076,"85-89",30240,22230
"Machakos",2059,"5-9",176270,176270
"Turkana",2068,"60-64",65661,63688
"Murang'a",2003,"75-79",3232,2947
"Mandera",2011,"40-44",54605,54605
"Taita Taveta",2084,"80-84",10564,10564
"Kitui",2004,"75-79",3573,3573
"Embu",2055,"45-49",56374,56374
"Migori",2018,"45-49",38863,38863
"Wajir",2035,"95+",336,336
"Embu",2094,"10-14",48042,48042
"Taita Taveta",2003,"80-84",500,500
"Kajiado",2030,"15-19",118013,94235
"Bungoma",2092,"45-49",187247,186629
"Bomet",2021,"45-49",39999,38705
"Embu",2038,"95+",141,141
